Address,Name Tag,Balance,Percentage,Txn Count
"0xe93fc974908003faddf0bd972b05b6494368d3f5","","98,770.46437562 ETH","0.08182662%","117"
"0x36b6751586614d647d8a3f495e82bdcf250914c8","","98,770.4638656 ETH","0.08182662%","116"
"0x28140cb1ac771d4add91ee23788e50249c10263d","Bitfinex 16","97,634.06653928 ETH","0.08088517%","83"
"0xfaa4ac54a8fda0c863dc52963a3753f2f1c9bcfb","","96,851.30392429 ETH","0.08023668%","22"
"0xc56fefd1028b0534bfadcdb580d3519b5586246e","Bitfinex 11","95,263.26329631 ETH","0.07892107%","75"
"0xf196c023de1f19d6529133759f449c4b01ce0f51","","94,923.81177177 ETH","0.07863985%","110"
"0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6","","93,032.09706553 ETH","0.07707265%","60"
"0x9030dcb01830eaa3d8ba285a824a05d8fb489ad0","","92,228.15256496 ETH","0.07640662%","58"
"0x807cc0e799dcc651d94595e1f7f6e7373ef8f96a","","90,645.23812469 ETH","0.07509525%","113"
"0xa580e49df5d054d69cf1b2ef4af847c6e6f64d30","","90,000.14565986 ETH","0.07456083%","61"
"0x9b07c94f1d39d24b68da8ff7c78adb8b70238a75","","90,000.14546338 ETH","0.07456083%","60"
"0x22a54a1eb8c573bbf845dd1ff64c8df05502c1b0","","90,000.14533929 ETH","0.07456083%","59"
"0xda29accfb77995bef70bcf6478a73e9acb07732d","","90,000.14530517 ETH","0.07456083%","54"
"0xf29c6705f188526e0029a92ee6bc21ebc750b675","","90,000.14527681 ETH","0.07456083%","55"
"0x03d615c04be905790dbef2df0472a2e901ccd810","","90,000.14513115 ETH","0.07456083%","55"
"0x5d71f4d4f6048112a3b21433fbcfba5f1f39549f","","90,000.13569538 ETH","0.07456082%","56"
"0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461","","89,854.99815638 ETH","0.07444058%","105"
"0x3727cfcbd85390bb11b3ff421878123adb866be8","Bitbank 2","88,084.60100848 ETH","0.07297389%","22,143"
"0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4","","87,469.13041059 ETH","0.07246400%","1,903"
"0xdf9eb223bafbe5c5271415c75aecd68c21fe3d7f","Liquity: Active Pool","86,651.91001253 ETH","0.07178697%","115"
"0x1bb762b16438f8b287626fd1042bc6f6848cc286","","86,481.01581692 ETH","0.07164540%","51"
"0x3952d69643f7a87237c7fc8bb33f8453c0b45500","","86,000.71663298 ETH","0.07124749%","31"
"0xad0d53cf033ab63dc72d653640766ee1d366cef6","","85,968.12156532 ETH","0.07122049%","124"
"0xac08f21ef597a51865d69896f09b52472acde80d","","85,968.1213579 ETH","0.07122049%","113"
"0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f","","84,999.99550644 ETH","0.07041844%","54"